  000005ec:  59 65                                           MTC 0x65
  000005ee:  59 66                                           MTC 0x66
  000005f0:  59 67                                           MTC 0x67
  000005f2:  59 68                                           MTC 0x68
  000005f4:  59 69 00 00 00 00 00 00                         MTC 0x69
  00000606:  19 56 e5 be a8 56 06 00                         TSC 0x656a8bee556
  00000616:  02 73 91 9e 00 2a 00 00                         TMA CTC 0x9e91 FC 0x2a
  00000620:  02 03 2e 00                                     CBR 0x2e
  00000624:  59 92                                           MTC 0x92
  00000626:  59 93                                           MTC 0x93
  00000628:  59 94                                           MTC 0x94
  0000062a:  59 95                                           MTC 0x95
  0000062c:  59 96 00 00 00 00 00 00                         MTC 0x96
  00000635:  99 01                                           MODE.Exec 64
  00000637:  71 e4 31 35 f8 53 7f 00                         TIP.PGE 0x7f53f83531e4 (3)
  00000640:  0c                                              TNT TN (2)
  00000641:  2d f7 8e                                        TIP 0x8ef7 (1)
  00000644:  04 00 00 00                                     TNT N (1)
  00000648:  4d 8f b8 38 f8                                  TIP 0xf838b88f (2)
  0000064d:  59 97                                           MTC 0x97
  0000064f:  04 00 00 00 00 00 00 00                         TNT N (1)
  00000657:  6d a0 e1 ce 75 b3 55 00                         TIP 0x55b375cee1a0 (3)
  00000667:  6d c0 7c 2d f8 53 7f 00                         TIP 0x7f53f82d7cc0 (3)
  00000670:  f0                                              TNT TTTNNN (6)
  00000671:  4d 20 e2 3f f8                                  TIP 0xf83fe220 (2)
  00000676:  59 98                                           MTC 0x98
  00000678:  59 99                                           MTC 0x99
  0000067a:  0a                                              TNT NT (2)
  0000067b:  4d 35 c9 2e f8                                  TIP 0xf82ec935 (2)
  00000680:  60                                              TNT TNNNN (5)
  00000681:  4d 00 56 30 f8                                  TIP 0xf8305600 (2)
  00000686:  06 00                                           TNT T (1)
  00000688:  4d a2 c9 2e f8                                  TIP 0xf82ec9a2 (2)
  0000068d:  80                                              TNT NNNNNN (6)
  0000068e:  04 00                                           TNT N (1)
  00000690:  2d 58 d9                                        TIP 0xd958 (1)
  00000693:  e2                                              TNT TTNNNT (6)
  00000694:  59 9a                                           MTC 0x9a
  00000696:  fc 00                                           TNT TTTTTN (6)
  00000698:  2d a5 d5                                        TIP 0xd5a5 (1)
  0000069b:  ac                                              TNT NTNTTN (6)
  0000069c:  da                                              TNT TNTTNT (6)
  0000069d:  50 00 00                                        TNT NTNNN (5)
  000006a0:  4d 00 56 30 f8                                  TIP 0xf8305600 (2)
  000006a5:  ba                                              TNT NTTTNT (6)
  000006a6:  aa                                              TNT NTNTNT (6)
  000006a7:  08                                              TNT NN (2)
  000006a8:  4d d0 15 40 f8                                  TIP 0xf84015d0 (2)
  000006ad:  32 00 00                                        TNT TNNT (4)
  000006b0:  4d 62 56 30 f8                                  TIP 0xf8305662 (2)
  000006b5:  04 00 00                                        TNT N (1)
  000006b8:  4d dd d7 2e f8                                  TIP 0xf82ed7dd (2)
  000006bd:  10 00 00                                        TNT NNN (3)
